sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 20, 2024 17:49:30

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
   +xefx_fifo_ram:efx_fifo_ram_a51c96a95f424469b7da29b24600982b(WR_DEPTH=1024,RD_DEPTH=1024,WADDR_WIDTH=10,RADDR_WIDTH=10,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     2(2)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_a51c96a95f424469b7da29b24600982b(SYNC_CLK=0,WR_DEPTH=1024,WADDR_WIDTH=10,RADDR_WIDTH=10,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	    110(66)	     33(33)	     53(13)	     0(0)	     0(0)	
    +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_a51c96a95f424469b7da29b24600982b(WIDTH=11)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	
    +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_a51c96a95f424469b7da29b24600982b(STAGE=2,WIDTH=11)	     22(22)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=11)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
    +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_a51c96a95f424469b7da29b24600982b(WIDTH=11)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	
    +genblk7.wr2rd_addr_sync:efx_fifo_datasync_a51c96a95f424469b7da29b24600982b(STAGE=2,WIDTH=11)	     22(22)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=11)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a51c96a95f424469b7da29b24600982b(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
 +i5:uart_tx_ctrl                                           	     12(12)	       0(0)	     13(13)	     0(0)	     0(0)	
 +uarttx:uart_tx(CLKS_PER_BIT=435)                          	     25(25)	       0(0)	     36(36)	     0(0)	     0(0)	
 +edb_top_inst:edb_top                                      	 3742(3742)	   111(111)	 3719(3719)	 448(448)	     0(0)	
